OTU ID	GMT-CLC	GMT-CLC-SUB	GMT-GLC	GMT-GLC-SUB	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU21	417	0	0	0	US|0.8991|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	Eurotiales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU40	408	0	0	0	US|0.9979|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU27	8	24	353	18	GSL|99.5|KF545314|SH1640859.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Rutstroemiaceae	Rutstroemiaceae	9	Saprotroph	Plant Saprotroph	Probable	Microfungus	NULL	Essentially saprobic on various plant parts, especially seeds and fruits, though initial infection may take place in living tissue (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU23	347	26	0	8	US|0.9536|JX031114|NA;k:Alveolata,p:Apicomplexa,c:Aconoidasida	-	-	-	-	-	-	-	Unassigned	-
OTU34	60	245	5	56	GS|98.6|AJ971447|SH1517393.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium,s:Coniosporium apollinis	Coniosporium	13	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	 The genus comprises environmental fungi forming black spots or patches on plant leaves, bamboo surface, rotten wood, and recently particularly on rock surfaces-Species are repeatedly isolated from human skin and nails and eventually causing mild cutaneous infections (Li et al. 2008)	Li DM, et al. 2008. Studies in Mycology 61:131-136
OTU28	338	1	0	0	SS|1.0000|MG418198|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU31	0	317	0	0	US|0.9194|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU25	312	0	0	0	US|0.9208|MG417566|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	-	-	-	-	-	-	-	Unassigned	-
OTU45	95	18	84	98	GS|97.9|KU325156|SH1615339.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	Probable	NULL	NULL	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU46	0	286	0	0	US|0.9127|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Trapeliales	-	-	-	-	-	-	-	Unassigned	-
OTU32	67	8	13	192	GS|100.0|EU480074|SH1643335.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Chaetosphaeronema	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU29	0	0	0	277	GSL|100.0|MG065793|SH1505872.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688
OTU33	271	0	0	0	GS|98.6|LN810846|SH1614772.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae,g:Polysporina,s:Polysporina subfuscescens	Polysporina	13	Symbiotroph	Lichenized	Possible	Thallus	NULL	Lichenized and non-licenized taxa	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU43	63	160	4	34	GS|100.0|KP335660|SH1541725.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU39	233	28	0	0	US|0.8929|KT268668|NA;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales	-	-	-	-	-	-	-	Unassigned	-
OTU30	216	0	26	3	US|0.9536|None;k:Alveolata,p:Dinophyta,c:Dinophyceae	-	-	-	-	-	-	-	Unassigned	-
OTU41	0	245	0	0	US|0.9424|None;k:Metazoa,p:Arthropoda,c:Copepoda,o:Siphonostomatoida	-	-	-	-	-	-	-	Unassigned	-
OTU36	0	235	0	0	US|0.8846|None;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Gigasporales	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531
OTU35	235	0	0	0	US|0.9505|None;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Tubeufiales	-	-	-	-	-	-	-	Unassigned	-
OTU38	61	9	20	143	GSL|100.0|KF861805|SH1557455.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia friedmannii	-	-	-	-	-	-	-	Unassigned	-
OTU37	19	191	13	8	GS|98.2|KJ001441|SH1188449.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	Entoloma	13	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)
OTU51	124	9	56	15	US|0.8340|LT611942|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU42	0	0	0	203	GS|99.1|KT359997|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU57	4	52	0	143	US|0.9855|GQ153257|SH1614486.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU78	195	0	0	0	US|0.9108|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU70	192	1	0	0	US|0.9108|LN810837|SH1614746.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU47	10	36	4	122	GS|99.4|JX984777|SH1572995.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Mycocentrospora	Mycocentrospora	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU44	165	0	0	0	US|0.8991|KF296802|SH1245481.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	-	-	-	-	-	-	-	Unassigned	-
OTU76	94	55	0	2	GDL|98.4|JX043206|NA;	-	-	-	-	-	-	-	Unassigned	-
OTU59	137	0	6	0	GSL|100.0|MH165223|SH1547057.08FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU55	119	18	1	0	US|0.9922|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU84	128	0	1	3	SS|1.0000|FN298727|SH1529591.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU50	0	8	26	94	GS|100.0|MF530916|NA;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU52	12	0	0	113	GS|100.0|EU480278|SH1182251.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma	Lophiostoma	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU53	110	8	6	0	US|0.9952|MH239936|NA;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU48	0	120	0	2	SS|1.0000|JQ247355|SH1237562.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU49	121	0	1	0	US|0.8991|KC216086|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	-	-	-	-	-	-	-	Unassigned	-
OTU63	100	14	2	4	GSL|100.0|MG780401|SH1526398.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688
OTU56	0	116	0	0	US|0.9882|MF530975|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU58	99	14	1	0	US|0.9346|GQ921796|SH1241091.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU54	113	0	0	0	US|0.9505|None;k:Alveolata,p:Apicomplexa,c:Coccidia,o:Eucoccidiorida	-	-	-	-	-	-	-	Unassigned	-
OTU72	58	17	7	26	GS|100.0|GQ153205|SH1541723.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU60	0	10	0	97	US|0.9424|MG417784|NA;k:Metazoa,p:Arthropoda,c:Insecta,o:Diptera	-	-	-	-	-	-	-	Unassigned	-
OTU69	37	12	11	47	US|0.9194|None;k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Oocystales	-	-	-	-	-	-	-	Unassigned	-
OTU66	101	5	0	0	US|0.9914|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU80	37	8	53	6	SS|0.9900|EU480215|SH1615722.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	Chaetomiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph	Possible	Microfungus	Soft Rot	Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926
OTU62	3	86	2	11	GS|99.4|EF159449|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU87	90	2	0	1	SS|1.0000|DQ420819|SH1556694.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Biappendiculispora	Biappendiculispora	13	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Isolated from dead herbaceous stems or culms of Poaceae (Thambugala et al. 2015)	Thambugala KM, et al. 2015. Fungal Diversity 74:199-266
OTU61	0	93	0	0	US|0.9079|KC966329|SH1246400.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU67	91	0	0	0	US|0.9424|None;k:Metazoa,p:Annelida,c:Polychaeta,o:Phyllodocida	-	-	-	-	-	-	-	Unassigned	-
OTU97	88	1	0	0	US|0.9882|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU64	0	0	0	83	GS|100.0|GU909821|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	-	-	-	-	-	-	-	Unassigned	-
OTU81	81	0	0	0	US|0.8929|None;k:Rhodoplantae,p:Rhodophyta,c:Florideophyceae,o:Corallinales	-	-	-	-	-	-	-	Unassigned	-
OTU88	78	0	0	0	US|0.9079|None;k:Ichthyosporia,c:Ichthyosporea,o:Dermocystida	-	-	-	-	-	-	-	Unassigned	-
OTU100	22	37	8	11	GDL|97.9|MG418361|NA;	-	-	-	-	-	-	-	Unassigned	-
OTU96	29	4	16	26	SS|1.0000|EU480152|SH1646998.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU65	0	0	0	74	GS|98.3|MG433038|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU71	70	0	0	0	GS|97.3|FJ761029|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Biappendiculispora	Biappendiculispora	13	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Isolated from dead herbaceous stems or culms of Poaceae (Thambugala et al. 2015)	Thambugala KM, et al. 2015. Fungal Diversity 74:199-266
OTU75	4	65	0	1	US|0.9662|MG418017|NA;k:Rhizaria,p:Cercozoa	-	-	-	-	-	-	-	Unassigned	-
OTU98	0	29	0	40	GS|100.0|EF519903|SH1650285.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella alpina	Mortierellaceae	9	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Possible	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
OTU73	30	29	0	10	GS|97.6|MG065733|SH1178692.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Coniothyriaceae,g:Hazslinszkyomyces	-	-	-	-	-	-	-	Unassigned	-
OTU110	56	11	0	0	GS|98.7|MH474510|SH1246757.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	Pezizaceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Possible	Pezizoid	NULL	Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU74	56	6	4	1	GS|99.0|EU480246|SH1182898.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	Herpotrichiellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU77	66	0	0	0	GS|100.0|KJ443264|SH1524239.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Pleospora	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU68	66	0	0	0	GS|97.8|GQ515050|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU94	63	0	0	0	GS|99.1|MH430502|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU83	53	3	1	4	US|0.8433|KF221681|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU79	56	1	0	3	GS|98.8|LT609143|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU89	45	9	1	1	GS|100.0|MH474534|SH1511530.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia fleischhakii	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU82	4	50	0	0	GS|100.0|AY843045|SH1184192.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,g:Catenulomyces,s:Catenulomyces convolutus	-	-	-	-	-	-	-	Unassigned	-
OTU85	54	0	0	0	US|0.8991|None;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	-	-	-	-	-	-	-	Unassigned	-
OTU101	23	23	4	4	GSL|100.0|KP204332|SH1515060.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales	-	-	-	-	-	-	-	Unassigned	-
